,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
100,11095754,1,4/29/2016 0:00,4/29/2016 0:17,1,3.7,-73.96363831,40.77428436279297,1,N,-73.99214172,40.73030090332031,1,15,0.5,0.5,2.45,0,0.3,18.75
101,11095755,1,4/29/2016 0:00,4/29/2016 0:10,2,2.1,-74.00328064,40.723934173583984,1,N,-74.01612854,40.70697784423828,1,9.5,0.5,0.5,1.5,0,0.3,12.3
102,11095756,1,4/29/2016 0:00,4/29/2016 0:17,1,4.7,-73.98242188,40.77528381347656,1,N,-73.93814087,40.82804870605469,2,16.5,0.5,0.5,0,0,0.3,17.8
103,11095757,2,4/29/2016 0:00,4/29/2016 0:24,2,6.17,-73.96075439,40.77586364746094,1,N,-73.96422577,40.71926117,1,21.5,0.5,0.5,4.56,0,0.3,27.36
104,11095758,2,4/29/2016 0:00,4/29/2016 0:08,1,1.37,-73.98444366,40.77957153320313,1,N,-73.98119354,40.76390838623047,1,7.5,0.5,0.5,1.5,0,0.3,10.3
105,11095759,1,4/29/2016 0:00,4/29/2016 0:08,2,2,-74.00097656,40.73186874389648,1,N,-74.00413513,40.75269317626953,1,8.5,0.5,0.5,1.2,0,0.3,11
106,11095760,1,4/29/2016 0:00,4/29/2016 0:36,1,6.3,-73.9690094,40.79090118408203,1,N,-73.99478149,40.718711853027344,2,26.5,0.5,0.5,0,0,0.3,27.8
107,11095761,1,4/29/2016 0:00,4/29/2016 0:15,1,1,-73.99819946,40.72505569458008,1,N,-73.9980545,40.71467971801758,2,10.5,0.5,0.5,0,0,0.3,11.8
108,11095762,1,4/29/2016 0:00,4/29/2016 0:14,1,6.3,-73.99691772,40.762786865234375,1,N,-73.94018555,40.83286285400391,1,20.5,0.5,0.5,1,0,0.3,22.8
109,11095763,2,4/29/2016 0:00,4/29/2016 0:24,3,4.36,-74.00233459,40.72803879,1,N,-73.97779846,40.67462539672852,2,19,0.5,0.5,0,0,0.3,20.3
110,11095764,2,4/29/2016 0:00,4/29/2016 0:25,1,4.73,-74.00552368,40.74070739746094,1,N,-73.96440887,40.71966171264648,1,19.5,0.5,0.5,4.16,0,0.3,24.96
111,11095765,2,4/29/2016 0:00,4/29/2016 0:05,6,1,-74.00225067,40.73955535888672,1,N,-73.98864746,40.73710250854492,2,6,0.5,0.5,0,0,0.3,7.3
112,11095766,2,4/29/2016 0:00,4/29/2016 0:04,2,0.65,-73.97397614,40.76358795166016,1,N,-73.9827652,40.76730728149415,1,4.5,0.5,0.5,1.16,0,0.3,6.96
113,11095767,1,4/29/2016 0:00,4/29/2016 0:07,1,1.9,-73.9756012,40.74526977539063,1,N,-73.98273468,40.72299575805664,1,8,0.5,0.5,1.85,0,0.3,11.15
